date,pollster,sample_type,dem_pct,rep_pct,sample_size,notes
1/8/2026,Cygnal,LV,48,45,1500,
1/25/2026,Reuters/Ipsos,RV,41,37,906,
1/26/2026,FOX News,RV,52,46,1005,
1/28/2026,Marquette,LV,52,45,778,
2/4/2026,Cygnal,LV,48,44,1500,
2/22/2026,Emerson,LV,50,42,1000,
3/4/2026,Cygnal,LV,49,45,1500,
3/4/2026,NPR/PBS/Marist,RV,53,44,1392,
3/17/2026,Emerson,LV,49,42,1000,
4/16/2026,Marquette,LV,53,43,944,
4/26/2026,Emerson,LV,50,40,1000,
5/6/2026,Cygnal,LV,49,42,1500,
5/15/2026,New York Times,RV,50,39,1506,
5/25/2026,Emerson,LV,50,41,1000,
6/8/2026,Emerson,LV,50,40,1000,
6/15/2026,Marquette,LV,53,45,827,
7/12/2026,Pew Research,RV,43,37,2779,
7/12/2026,CNBC,RV,49,45,1000,
7/20/2026,FOX News,RV,53,46,1003,
7/20/2026,Emerson,LV,53,42,1100,
7/26/2026,Reuters/Ipsos,RV,40,38,1003,
7/27/2026,Quinnipiac,RV,48,41,963,
7/27/2026,CNN,RV,47,39,914,
7/27/2026,The Argument,RV,54,46,3000,
7/29/2026,Marquette,LV,51,45,572,
8/3/2026,Reuters/Ipsos,RV,42,37,3542,
8/11/2026,Economist/YouGov,RV,46,40,1419,
8/14/2026,Cygnal,LV,49,42,1500,
8/17/2026,Reuters/Ipsos,RV,41,36,876,
8/17/2026,Economist/YouGov,RV,46,39,1449,
8/22/2026,Emerson,LV,50.7,43,1000,
8/24/2026,Reuters/Ipsos,RV,41,35,951,
8/25/2026,Economist/YouGov,RV,46,40,1377,
8/26/2026,Strength in Numbers/Verasight,RV,49,43,1378,
8/26/2026,Strength in Numbers/Verasight,LV,51.1,43.6,1378,"Same as the RV poll, except this is 'weighted by likeliness to vote'"
8/27/2026,Angus Reid Global,LV,53,43,1068,
8/31/2026,Economist/YouGov,RV,46,40,1434,
8/31/2026,Reuters/Ipsos,RV,43,38,924,
